id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Wildebeest,0,0,34,33,72,60,70,22,15,51,85,47,21,77,50,54,38,35,51,49,65,35
Zebra,0,0,61,35,70,69,74,10,63,68,44,54,73,50,51,33,10,23,78,22,66,34
Giraffe,0,31,45,53,69,33,55,32,20,73,37,64,77,60,60,71,74,64,84,16,88,12
Gorilla,0,0,48,30,20,58,88,32,40,77,50,40,66,29,56,45,44,52,72,28,84,16
Chimpanzee,0,0,22,28,49,44,44,20,32,91,73,57,52,59,79,68,17,36,68,32,83,17
Orangutan,0,0,48,57,41,84,76,49,66,15,65,43,59,79,73,43,72,38,72,28,78,22
Rhinoceros,0,18,20,44,15,72,63,52,26,74,36,73,13,83,70,18,95,64,81,19,88,12
Water Buffalo,0,0,25,23,56,54,40,28,63,56,63,53,45,73,73,47,20,70,50,50,69,31
Bison,0,80,50,42,54,71,24,6,8,46,45,7,29,40,36,75,24,37,78,22,87,13
Yak,0,0,44,43,50,68,58,15,25,54,33,79,13,84,59,63,60,35,50,50,69,31
Moose,0,75,27,26,59,84,63,16,77,20,64,73,64,67,67,23,74,53,75,25,83,17
Elk,0,70,23,47,63,70,77,59,24,70,42,71,44,64,81,74,65,44,77,23,76,24
Deer,0,57,68,44,77,78,49,49,48,18,83,46,33,56,47,60,43,53,72,28,79,21
Reindeer,0,0,42,37,75,30,53,25,15,45,72,67,40,69,80,77,67,12,70,30,67,33
Caribou,0,0,27,45,55,49,62,48,65,59,74,75,52,47,78,49,49,42,51,49,65,35
Antelope,0,0,43,32,60,37,67,69,28,39,47,66,45,71,56,27,34,47,51,49,67,33
Gazelle,0,0,80,39,40,75,54,17,40,20,26,75,47,69,36,77,23,11,54,46,67,33
Impala,0,0,35,50,68,51,31,7,37,76,34,13,61,56,29,21,29,29,54,46,67,33
Kudu,0,0,22,35,47,65,68,54,82,43,68,62,66,44,74,54,82,17,54,46,65,35
Eland,0,0,50,33,53,46,62,11,25,45,42,75,19,35,20,67,67,70,52,48,65,35
Oryx,0,0,27,38,58,74,75,59,14,44,53,80,35,52,34,43,29,44,51,49,65,35
Gemsbok,0,0,21,30,59,68,67,37,61,30,79,43,61,85,54,79,79,73,53,47,65,35
Chicken,0,0,34,11,98,77,40,99,94,18,31,34,12,73,54,99,15,32,58,42,74,26
Turkey,0,0,40,48,57,41,57,56,67,26,80,49,62,46,61,28,30,52,63,37,78,22
Duck,0,0,29,45,75,32,49,12,45,47,61,19,61,80,85,15,79,69,53,47,70,30
Goose,0,0,26,53,63,69,68,64,85,71,26,31,44,60,36,51,66,72,55,45,75,25
Pig,5,10,20,39,93,30,55,96,16,43,34,64,25,66,39,97,47,75,72,28,78,22
Sheep,0,96,35,50,88,59,55,19,54,39,85,22,18,42,73,58,74,44,65,35,77,23
Goat,0,39,46,57,71,85,29,58,73,76,64,47,80,73,68,73,51,34,66,34,79,21
Cow,22,44,27,54,91,32,40,97,53,64,39,68,14,33,84,99,52,22,78,22,75,25
Horse,22,53,74,55,49,56,75,20,14,75,53,48,60,66,30,57,78,58,77,23,83,17
Donkey,0,0,47,54,42,69,24,31,85,51,49,16,65,31,32,71,31,48,50,50,65,35
Llama,0,92,45,23,58,52,43,56,23,46,72,77,33,35,42,25,58,40,53,47,69,31
Alpaca,0,91,27,49,56,59,36,2,64,51,40,14,66,85,64,53,64,42,53,47,67,33
Camel,0,0,26,44,70,36,35,49,78,60,57,42,12,78,70,50,11,16,79,21,83,17
Dromedary,0,0,46,38,54,68,71,46,33,39,52,22,22,82,25,54,66,14,54,46,67,33
Kangaroo,0,28,62,38,60,77,46,23,30,31,66,72,74,83,54,36,42,71,72,28,77,23
Wallaby,0,0,45,27,69,34,29,29,55,61,31,55,11,41,35,73,57,43,54,46,68,32
Koala,0,0,46,60,63,36,63,30,65,18,61,33,18,100,79,53,62,24,61,39,65,35
Wombat,0,0,50,22,59,61,27,13,35,32,69,63,57,67,73,34,63,22,53,47,69,31
Platypus,0,0,33,37,42,74,43,28,61,71,50,51,22,68,67,60,17,60,52,48,66,34
Echidna,0,0,50,27,69,35,62,28,81,17,26,47,41,33,46,23,80,36,54,46,66,34
Opossum,0,0,46,34,61,79,29,1,40,33,36,74,42,76,42,29,13,26,50,50,67,33
Raccoon,0,0,45,35,60,31,31,34,11,31,73,72,24,72,28,75,67,56,64,36,74,26
Badger,0,0,23,48,72,44,80,6,71,53,78,8,17,55,71,69,23,72,63,37,75,25
Otter,0,0,48,25,60,68,29,9,21,50,61,53,77,43,78,79,65,22,60,40,79,21
Beaver,0,83,33,48,54,56,41,59,56,68,32,45,64,45,52,62,29,70,65,35,70,30
Squirrel,0,0,46,25,45,57,26,48,21,22,62,20,62,47,74,21,46,49,52,48,65,35
Rabbit,0,89,36,16,74,72,50,29,18,59,67,19,45,61,48,69,81,13,59,41,72,28
Hare,0,0,20,31,57,74,68,40,48,59,20,28,28,61,71,23,28,13,55,45,74,26
Guinea Pig,0,0,26,44,66,59,41,21,52,54,61,77,20,81,26,34,30,16,50,50,67,33
Hamster,0,0,34,47,71,68,48,54,39,42,85,19,54,52,34,51,85,72,44,56,62,38
Rat,0,0,21,17,82,99,23,1,31,53,47,22,42,43,97,30,10,73,48,52,66,34
Mouse,0,0,19,22,74,75,34,65,76,60,29,55,15,52,22,73,19,50,39,61,63,37
Chinchilla,0,100,32,60,66,48,27,52,7,56,41,63,56,30,75,28,41,65,54,46,68,32
Ferret,0,0,36,25,65,85,39,44,33,57,41,14,75,65,34,80,34,54,52,48,71,29
Mink,0,0,27,26,49,46,32,23,82,34,29,27,73,54,77,56,50,29,53,47,65,35
Fox,0,87,34,60,59,80,37,8,50,79,29,44,69,53,24,22,57,46,55,45,70,30
Jackal,0,0,39,58,72,54,49,6,62,39,61,65,74,34,27,72,23,53,50,50,69,31
Coyote,0,0,40,31,42,45,65,57,61,35,66,52,46,49,72,58,16,52,60,40,77,23
Hyena,17,0,23,55,64,48,36,20,47,25,38,49,49,66,70,31,20,49,69,31,68,32
Warthog,0,0,40,41,48,72,64,68,16,69,85,51,12,48,59,38,37,53,53,47,66,34
Wild Boar,10,0,27,28,49,34,38,13,69,19,63,21,58,34,40,38,31,66,70,30,68,32
Peccary,0,0,31,35,68,69,38,58,34,45,59,65,34,48,76,74,46,58,54,46,69,31
Tapir,0,0,33,30,52,81,58,18,37,21,81,52,80,84,33,30,46,20,51,49,67,33
Aardvark,0,0,34,52,49,83,47,12,33,72,64,8,63,28,70,79,57,40,53,47,65,35
Anteater,0,0,31,34,41,50,79,13,47,33,37,9,46,83,80,32,70,67,54,46,65,35
Sloth,0,0,0,21,56,43,73,20,75,69,34,41,40,44,35,21,40,63,59,41,68,32
Armadillo,0,0,22,27,71,68,54,3,85,80,50,23,47,52,20,60,40,63,56,44,65,35
Pangolin,0,0,36,43,44,63,54,65,69,17,69,65,15,65,69,62,42,12,52,48,65,35
Hedgehog,0,0,31,35,46,79,57,43,22,20,65,74,53,77,42,74,71,33,51,49,65,35
Porcupine,0,0,42,49,42,48,32,6,30,20,60,44,75,50,80,47,14,34,62,38,77,23
Skunk,0,0,47,23,61,47,27,48,60,66,76,54,53,36,83,78,57,76,52,48,65,35
Mole,0,0,43,47,45,57,58,24,74,52,61,18,20,45,57,54,67,64,51,49,68,32
Shrew,0,0,31,48,42,76,75,46,83,70,55,12,19,67,71,61,75,30,50,50,66,34
Bat,0,0,47,58,68,32,28,9,35,61,66,54,14,63,39,72,57,57,38,62,60,40
Peregrine Falcon,0,0,99,28,73,53,45,41,40,46,34,8,33,56,69,30,43,43,53,47,66,34
Golden Eagle,0,0,99,38,71,42,27,18,14,72,42,61,21,76,60,59,18,80,64,36,77,23
Bald Eagle,0,0,48,39,50,75,65,23,51,80,48,20,35,75,37,45,73,13,57,43,79,21
Hawk,0,0,38,43,69,81,55,17,83,26,28,44,60,70,81,67,62,19,51,49,72,28
Owl,0,0,40,57,68,59,63,67,49,31,43,21,65,57,27,30,76,29,57,43,71,29
Vulture,0,0,25,40,54,52,80,67,41,25,52,30,80,42,36,53,78,21,54,46,66,34
Condor,0,0,38,57,49,40,62,44,77,20,23,15,15,85,53,41,83,63,64,36,85,15
Albatross,0,0,35,60,74,48,61,39,66,46,71,43,68,29,27,35,66,63,63,37,88,12
Pelican,0,0,26,41,49,50,75,41,49,66,36,52,75,60,33,55,40,69,60,40,77,23
Cormorant,0,0,34,35,49,36,23,38,54,68,51,25,51,84,60,39,30,73,54,46,68,32
Heron,0,0,35,39,71,31,25,51,69,73,50,32,55,28,26,51,73,70,52,48,69,31
Crane,0,0,20,26,67,38,76,34,51,66,66,10,61,28,44,61,80,46,50,50,68,32
Stork,0,0,36,48,75,47,72,16,21,27,70,52,53,60,66,33,35,75,53,47,69,31
Flamingo,0,0,21,22,42,38,65,43,65,73,39,70,27,45,60,35,60,48,59,41,77,23
Swan,0,0,36,52,74,61,65,39,65,17,67,47,24,51,59,18,70,43,64,36,79,21
Penguin,0,0,27,23,70,40,53,49,23,46,24,78,24,96,22,71,50,63,51,49,78,22
Ostrich,0,0,81,46,72,79,59,61,12,32,46,76,51,67,81,63,50,32,73,27,84,16
Emu,0,0,30,54,62,73,69,34,83,76,44,36,45,60,58,43,48,46,66,34,83,17
Cassowary,0,0,30,50,62,65,79,36,41,30,68,55,54,74,38,52,15,46,50,50,82,18
Kiwi,0,0,49,48,56,77,50,28,30,49,54,22,23,64,50,46,16,77,51,49,66,34
Parrot,0,0,21,83,66,51,65,61,17,32,20,75,30,51,80,76,35,46,47,53,67,33
Macaw,0,0,40,23,45,71,56,30,73,19,42,58,32,84,24,65,73,33,52,48,75,25
Cockatoo,0,0,20,39,46,51,38,59,74,78,37,69,69,42,44,29,52,30,53,47,67,33
Toucan,0,0,42,31,40,77,41,38,77,39,42,56,64,57,61,26,61,22,51,49,66,34
Woodpecker,0,0,35,40,55,30,36,50,35,72,54,47,48,62,21,48,56,40,40,60,60,40
Hummingbird,0,0,34,39,50,55,63,65,44,30,57,52,38,39,37,76,29,68,34,66,62,38
Kingfisher,0,0,33,55,70,78,54,28,36,25,77,72,56,29,34,22,80,74,41,59,59,41
Robin,0,0,37,29,50,50,74,67,61,29,46,79,72,30,85,72,17,68,36,64,64,36
Sparrow,0,0,33,49,43,65,49,40,7,65,52,5,37,62,29,20,64,54,35,65,64,36
Pigeon,0,0,21,24,85,95,38,53,28,32,73,52,58,53,68,63,20,79,46,54,67,33
Dove,0,0,23,31,74,55,53,17,33,15,22,43,69,68,74,63,39,41,48,52,62,38
Crow,0,0,24,37,52,76,68,15,9,68,22,35,36,29,32,19,67,16,51,49,70,30
Raven,0,0,32,48,54,64,33,8,22,79,57,34,50,61,61,45,48,28,54,46,71,29
Magpie,0,0,33,39,57,33,55,23,85,69,83,11,54,85,68,55,63,62,51,49,67,33
Jay,0,0,32,31,74,60,35,29,43,33,79,12,62,51,37,64,41,42,51,49,67,33
Seagull,0,0,40,25,68,84,43,12,73,39,26,39,58,68,25,24,34,37,53,47,66,34
Tern,0,0,47,41,59,30,33,25,20,76,51,31,60,83,50,56,46,58,53,47,69,31
Puffin,0,0,40,42,59,46,43,66,68,74,32,65,50,83,46,62,50,62,50,50,69,31
Salmon,0,0,47,34,49,31,36,54,42,34,45,47,39,49,51,78,80,53,57,43,78,22
Trout,0,0,50,51,69,40,66,46,26,32,82,28,79,66,27,19,19,16,55,45,68,32
Tuna,0,0,24,60,54,34,65,20,6,42,84,63,57,28,81,77,12,10,79,21,69,31
Swordfish,0,0,33,20,41,63,66,36,73,51,22,69,65,76,42,28,22,77,76,24,81,19
Marlin,0,0,81,59,73,46,72,46,39,65,30,52,61,54,51,43,48,20,75,25,85,15
Shark (Great White),0,0,32,44,64,65,50,8,6,36,30,68,65,66,62,27,77,15,51,49,66,34
Hammerhead Shark,0,0,48,56,70,47,22,10,40,19,42,45,12,38,38,65,19,48,51,49,69,31
Tiger Shark,0,0,27,56,64,73,77,70,47,64,37,15,74,72,64,21,22,65,51,49,65,35
Whale Shark,0,0,30,58,65,79,40,4,39,72,82,34,55,60,68,70,33,58,90,10,99,1
Orca,0,0,69,35,44,35,37,20,53,34,69,45,56,31,31,15,49,66,87,13,92,8
Dolphin,0,0,23,28,45,41,47,58,76,98,85,57,23,26,31,60,80,21,54,46,84,16
Porpoise,0,0,45,40,64,30,38,53,54,25,51,78,76,35,68,36,27,44,52,48,67,33
Manatee,0,0,35,29,44,40,47,36,58,53,81,14,56,41,51,78,35,68,50,50,66,34
Seal,0,0,29,20,65,51,73,49,47,71,62,60,27,44,61,40,71,50,71,29,83,17
Sea Lion,0,0,50,40,58,77,64,63,78,46,61,53,45,77,70,61,24,35,79,21,84,16
Walrus,0,0,25,55,41,76,49,27,61,52,28,57,73,33,58,45,42,29,83,17,68,32
Polar Bear,0,90,34,58,70,67,45,69,69,68,24,51,78,63,30,28,41,55,76,24,84,16
Panda,0,80,38,45,15,80,47,14,6,27,53,33,75,100,48,72,97,60,73,27,69,31
Grizzly Bear,0,88,24,42,41,60,26,38,58,25,34,23,54,44,63,73,36,76,78,22,82,18
Black Bear,0,0,35,26,68,76,64,58,45,23,58,10,24,26,63,28,31,41,74,26,66,34
Sun Bear,0,0,37,30,61,65,47,60,34,66,43,28,65,50,23,40,67,64,53,47,65,35
Sloth Bear,0,0,42,33,53,47,68,9,78,28,43,51,51,37,78,29,43,72,54,46,67,33
Spectacled Bear,0,0,39,44,65,67,27,45,50,73,42,43,20,68,37,55,25,40,52,48,65,35
Red Panda,0,0,25,43,49,62,44,54,81,32,69,59,33,98,42,36,72,46,51,49,66,34
Meerkat,0,0,30,48,43,85,42,2,67,32,44,54,74,66,83,67,72,63,53,47,68,32
Mongoose,0,0,25,25,41,80,68,29,42,19,55,33,78,43,41,73,82,73,54,46,69,31
Civet,0,0,23,56,47,47,69,70,51,20,76,74,37,52,33,46,48,14,53,47,67,33
Genet,0,0,31,25,68,85,27,31,31,59,74,26,27,75,46,41,17,54,54,46,67,33
Lynx,0,89,37,30,60,75,38,38,78,49,85,17,27,73,72,22,45,26,61,39,66,34
Bobcat,0,0,24,40,55,78,73,51,67,33,54,58,58,53,29,26,61,75,52,48,67,33
Puma,0,0,34,51,60,67,20,12,63,60,28,73,60,38,74,42,73,44,67,33,67,33
Jaguar,0,0,30,55,48,66,74,63,48,21,25,17,68,26,35,35,66,68,70,30,83,17
Cheetah,0,0,100,32,48,71,39,21,40,26,66,37,20,48,41,21,60,49,66,34,78,22
Snow Leopard,0,0,40,25,46,30,33,62,14,31,48,71,66,25,21,58,25,64,51,49,68,32
Clouded Leopard,0,0,22,34,64,35,66,14,18,55,67,43,27,49,37,33,18,77,54,46,65,35
Ocelot,0,0,39,30,68,52,66,28,85,34,72,61,37,30,32,32,25,59,52,48,68,32
Serval,0,0,30,28,55,47,61,11,36,51,23,43,36,58,85,39,60,47,50,50,66,34
Caracal,0,0,35,44,47,45,51,10,72,16,66,45,26,49,73,61,79,32,53,47,65,35
Fishing Cat,0,0,20,57,44,30,36,28,10,22,70,69,46,65,84,68,64,61,50,50,69,31
Leopard Cat,0,0,37,59,49,47,25,40,15,80,46,24,78,45,70,23,49,65,51,49,65,35
Sand Cat,0,0,27,25,67,37,49,8,44,37,35,6,27,69,21,35,73,54,54,46,69,31
Black-footed Cat,0,0,45,36,50,53,28,35,20,18,62,59,44,58,28,48,83,19,53,47,68,32
Rusty-spotted Cat,0,0,36,43,43,61,74,22,52,35,52,18,24,39,85,15,15,11,51,49,65,35
Octopus,0,0,35,43,64,39,31,5,75,68,48,46,41,51,60,49,19,57,60,40,74,26
Squid,0,0,41,23,51,44,71,67,10,66,28,64,46,74,59,56,21,80,53,47,70,30
Cuttlefish,0,0,31,32,58,66,70,39,84,46,79,52,73,74,45,46,29,10,58,42,65,35
Lobster,0,0,27,72,62,70,73,2,47,15,68,44,23,38,50,68,72,17,51,49,72,28
Crab,0,0,22,22,54,84,53,53,52,73,30,79,22,57,37,65,19,17,48,52,66,34
Shrimp,0,0,27,38,56,84,40,51,46,55,77,39,39,29,45,32,84,23,31,69,60,40
Crayfish,0,0,25,48,69,50,46,16,73,60,46,62,49,54,53,30,21,30,52,48,69,31
Clam,0,0,21,96,60,39,25,32,50,65,85,11,48,41,42,18,61,67,54,46,64,36
Oyster,0,0,27,26,69,36,71,18,20,16,27,33,26,37,71,62,20,43,40,60,60,40
Mussel,0,0,22,96,68,81,28,12,47,30,25,64,16,35,75,65,73,13,43,57,63,37
Scallop,0,0,25,42,53,41,37,36,62,34,24,36,47,56,72,76,17,21,52,48,68,32
Snail,0,0,1,46,52,71,76,68,36,17,68,50,71,59,82,59,82,74,37,63,58,42
Slug,0,0,2,31,41,50,58,29,8,50,27,65,77,47,49,35,22,41,36,64,62,38
Starfish,0,0,37,23,54,66,74,50,50,37,42,35,50,76,65,18,55,28,34,66,66,34
Sea Urchin,0,0,46,98,74,49,31,63,9,26,27,34,38,26,81,15,52,35,41,59,62,38
Sea Cucumber,0,0,42,31,60,33,21,19,80,33,34,72,56,29,67,65,85,22,47,53,67,33
Coral,0,0,2,96,50,76,80,56,67,6,42,76,55,39,42,63,49,47,6,94,31,69
